id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
10577,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,557,-753,-14837,26,29,-7,0,NULL,NULL,1677128586414,01370022,"2023-02-23,13:03:06",90
10578,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1419,1165,-14409,141,26,-231,0,NULL,NULL,1677128586538,01370022,"2023-02-23,13:03:06",90
10579,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,218,944,-16396,-47,-159,64,0,NULL,NULL,1677128586652,01370022,"2023-02-23,13:03:07",90
10580,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1235,662,-15438,-27,-51,128,0,NULL,NULL,1677128586771,01370022,"2023-02-23,13:03:07",90
10581,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,305,947,-16599,-129,-68,223,0,NULL,NULL,1677128586902,01370022,"2023-02-23,13:03:07",90
10582,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1527,1715,-14601,12,-15,143,0,NULL,NULL,1677128587034,01370022,"2023-02-23,13:03:07",90
10583,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,235,2250,-16202,21,-23,9,0,NULL,NULL,1677128587149,01370022,"2023-02-23,13:03:07",90
10584,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,92,2479,-15766,7,-7,12,1,NULL,NULL,1677128587283,01370022,"2023-02-23,13:03:07",90
10585,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1400,2738,-15432,-18,-87,-10,0,NULL,NULL,1677128587426,01370022,"2023-02-23,13:03:07",90
10586,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,251,2547,-16303,-21,-22,-47,0,NULL,NULL,1677128587571,01370022,"2023-02-23,13:03:07",90
10587,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,936,2616,-15810,-23,-41,24,1,NULL,NULL,1677128587698,01370022,"2023-02-23,13:03:08",90
